Clave,SISTEMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Estado de Situación Financiera (millones de pesos corrientes),ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23
13,Instrumentos Financieros para Cobrar o Vender sin Restricción,"493,298","527,500","454,910","518,238","467,280","545,025","575,925","584,631","580,382","590,172","651,057","633,186","554,463","568,713","608,359","672,497","696,738","805,939","818,362","856,892","926,998","919,766","901,657","888,999","864,485","946,208","926,680","846,759","845,895","905,262","912,394","951,512","1,012,058","924,723","986,227","1,032,500","1,000,785","1,029,364","1,074,905","933,235","877,012","892,416","906,160","850,164","805,580","863,403","797,885","846,863","760,632","786,635","783,519","702,150","697,658","777,427","803,313","849,730","801,079"
14,Instrumentos Financieros Negociables,"1,023,137","1,069,204","1,090,376","1,193,598","1,223,306","1,186,238","1,244,119","1,248,717","1,207,962","1,216,439","1,269,219","1,200,081","1,188,796","1,208,271","1,258,604","1,338,070","1,368,798","1,404,538","1,446,460","1,415,675","1,414,661","1,428,637","1,470,503","1,456,692","1,548,802","1,486,431","1,435,182","1,444,482","1,455,822","1,366,854","1,348,540","1,426,636","1,369,081","1,463,652","1,455,422","1,358,156","1,350,812","1,278,808","1,320,380","1,294,843","1,308,631","1,381,528","1,375,476","1,433,608","1,454,316","1,482,268","1,490,045","1,444,290","1,504,649","1,492,581","1,452,591","1,499,952","1,518,650","1,487,680","1,525,626","1,519,344","1,500,025"
15,Instrumentos Financieros para Cobrar o Vender,"890,891","909,842","873,289","910,230","933,496","896,274","924,670","978,025","964,376","1,018,996","1,076,046","959,520","929,014","996,595","1,031,195","1,143,842","1,191,983","1,184,504","1,193,686","1,235,665","1,222,593","1,232,777","1,269,168","1,241,658","1,247,418","1,271,416","1,261,264","1,268,882","1,276,946","1,270,788","1,279,416","1,313,171","1,367,598","1,383,694","1,401,651","1,376,509","1,356,656","1,350,852","1,334,497","1,314,053","1,315,290","1,245,834","1,275,842","1,274,991","1,232,782","1,240,407","1,234,477","1,237,465","1,220,655","1,212,742","1,180,772","1,176,310","1,195,765","1,229,949","1,258,180","1,300,949","1,328,706"
16,Instrumentos Financieros para Cobrar Principal e Interés (valores)(neto),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"252,662","254,108","261,563","275,173","288,753","301,925","287,937","294,136","303,335","320,709","335,593","344,481","363,402","394,986","418,066","439,380","441,172","438,159","450,636","456,691","449,595"
17,Instrumentos Financieros para Cobrar Principal e Interés (valores),"116,756","127,980","126,995","126,393","136,005","136,536","137,074","149,708","148,035","152,010","151,725","149,459","150,402","155,363","170,369","192,200","201,692","204,104","207,406","219,734","225,817","227,291","228,268","225,473","226,217","231,590","227,619","233,358","233,105","215,367","219,560","219,573","219,219","227,086","242,456","239,292","253,325","254,772","262,232","275,891","289,483","302,639","288,564","294,767","303,970","321,349","336,252","345,124","364,035","395,735","418,829","440,029","441,820","438,821","451,297","457,353","450,261"
18,Estimación de Pérdidas Crediticias Esperadas para Inversiones en Instrumentos Financieros para Cobrar Principal e Interés (valores),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-663,-664,-669,-718,-731,-714,-627,-632,-634,-640,-660,-643,-633,-749,-763,-649,-648,-661,-661,-661,-666
19,Operaciones con Instrumentos Financieros y Derivados,"729,868","745,021","732,537","676,969","673,387","692,775","697,228","765,600","694,926","758,315","698,693","692,768","739,180","843,965","1,491,228","1,605,298","1,355,228","1,538,507","1,406,367","1,302,519","1,221,858","1,233,096","1,198,246","1,284,739","1,126,777","1,046,212","933,067","942,347","943,538","898,299","829,651","840,690","831,657","876,353","986,306","838,816","1,129,144","1,186,486","1,240,449","1,286,774","1,334,607","1,330,637","1,276,040","1,444,190","1,474,622","1,504,032","1,441,010","1,407,993","1,419,587","1,516,720","1,530,111","1,545,624","1,501,014","1,308,624","1,370,366","1,378,148","1,447,252"
20,Cartera de Crédito con Riesgo de Crédito Etapa 1,"4,930,797","4,952,057","4,996,566","5,027,262","5,065,082","5,091,314","5,078,557","5,154,160","5,073,610","5,060,714","5,144,910","5,161,358","5,153,542","5,188,154","5,507,033","5,572,514","5,460,584","5,392,120","5,327,458","5,273,969","5,240,727","5,173,522","5,095,518","5,041,272","5,079,320","5,085,193","5,091,943","5,085,322","5,077,244","5,075,961","5,111,234","5,107,350","5,139,014","5,180,416","5,272,191","5,309,037","5,232,514","5,250,555","5,306,756","5,384,721","5,447,212","5,512,388","5,554,502","5,577,395","5,639,066","5,746,615","5,802,293","5,856,526","5,906,433","5,936,198","5,993,887","6,039,064","6,044,327","6,058,155","6,150,781","6,196,809","6,281,538"
21,Créditos Comerciales,"3,420,710","3,436,202","3,467,197","3,490,584","3,515,223","3,529,931","3,506,235","3,568,981","3,481,670","3,448,377","3,511,909","3,531,217","3,522,719","3,550,884","3,867,720","3,944,559","3,831,669","3,779,227","3,706,818","3,644,298","3,600,445","3,470,276","3,377,725","3,325,241","3,371,165","3,377,296","3,372,350","3,357,399","3,334,319","3,317,635","3,336,196","3,319,542","3,331,844","3,368,128","3,428,064","3,456,318","3,404,938","3,412,877","3,446,500","3,506,390","3,546,990","3,586,053","3,606,806","3,605,179","3,643,784","3,730,099","3,749,455","3,791,418","3,724,413","3,735,394","3,769,630","3,795,966","3,775,355","3,756,146","3,826,599","3,846,136","3,903,398"
22,Actividad Empresarial o Comercial,"2,440,077","2,474,576","2,518,791","2,538,425","2,570,346","2,584,972","2,567,754","2,620,158","2,576,952","2,542,713","2,567,871","2,530,758","2,537,775","2,575,004","2,856,388","2,938,726","2,857,894","2,816,877","2,758,114","2,712,855","2,653,954","2,586,328","2,515,275","2,456,069","2,461,647","2,471,332","2,447,739","2,445,953","2,423,516","2,423,015","2,442,631","2,434,569","2,437,902","2,463,766","2,500,224","2,517,413","2,445,937","2,445,553","2,499,858","2,545,078","2,594,056","2,624,214","2,669,256","2,666,376","2,698,141","2,721,563","2,736,192","2,752,700","2,750,424","2,746,646","2,778,157","2,802,374","2,803,534","2,783,187","2,825,432","2,841,047","2,888,890"
